Name,LowerBound,UpperBound,LatLongVertices,XYLambertVertices
Turbulent Zone 37,31000,60000,43.671400536339:-98.75244140625 42.7509145221356:-96.31298828125 41.2243103713972:-94.53271484375 40.1748721236218:-95.3378906249999 39.8551348115629:-99.13134765625 42.5006420575404:-100.65380859375,-172.556243281443:1144.75342713415 -60.9497781793049:1084.30278589098 22.0231270590328:987.969747542488 -16.0882176433739:922.376578098228 -197.285023921879:905.454269598704 -263.040658906532:1073.68359566666
Turbulent Zone 38,13000,52000,40.5258594510714:-96.09375 39.8969570162893:-95.1044921875 37.2261587022048:-94.2470703125 36.7346874172678:-95.6660156249999,-51.9003465514505:944.457421059063 -4.98860133708888:905.052258958602 36.8630270054113:739.980858527871 -32.7561093981415:709.768810150199
Turbulent Zone 39,13000,38800,41.6519337614902:-104.619140625 41.2077818713586:-102.5966796875 35.4743004064296:-109.89794921875 37.6448876005389:-108.5859375,-451.068414314105:1030.76787118712 -357.902533127797:996.926066672264 -739.706107764475:673.201318125604 -661.472821789716:798.818120877106
Turbulent Zone 40,34000,36000,34.029391060841:-116.11083984375 34.5384487283745:-114.79150390625 32.6904588143744:-116.671875,-1059.71696296303:627.124646394878 -989.46943503196:647.784225969566 -1100.58006646302:551.324621095379
Turbulent Zone 41,36200,39000,44.9293724874703:-87.76611328125 44.1626881089872:-86.97412109375 44.4927698566475:-88.0854492187499 44.7739093897581:-88.1455078124998,328.251604532326:1231.44629484901 367.050928052326:1184.52115340091 315.199098732059:1202.77205857173 311.554456752182:1220.60096116382
Turbulent Zone 42,32000,44000,30.0447896913192:-81.92138671875 30.7086272954406:-78.899658203125 29.8742145332647:-80.1845703125 29.0515919071234:-82.4384765624999,681.383432360412:336.190420224674 833.398149684314:392.880716691817 772.651929779093:335.277628309792 660.057487761235:274.073611557587
Turbulent Zone 43,33850,39700,35.7415550970159:-82.1630859375 35.2054428421163:-81.70068359375 35.4564044135076:-82.82763671875 35.8848073744681:-83.3833007812499,636.158892059995:678.99249887035 662.209618116785:648.606614102525 604.879357443859:658.597120837383 575.094743489908:682.267790519918
